4K频道,#genre#
CCTV4K超高清,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227623/index.m3u8
CCTV16奥林匹克4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227709/index.m3u8
北京卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227629/index.m3u8
北京卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227656/index.m3u8
东方卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227539/index.m3u8
广东卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227712/index.m3u8
湖南卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227630/index.m3u8
江苏卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227627/index.m3u8
山东卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227621/index.m3u8
深圳卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227626/index.m3u8
四川卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227624/index.m3u8
浙江卫视4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227542/index.m3u8
咪视界4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227311/index.m3u8
至臻视界4K,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227393/index.m3u8
央视频道,#genre#
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227637/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226190/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226675/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227461/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227554/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227574/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227664/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227706/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227714/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226179/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227365/index.m3u8
CCTV-1综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227679/index.m3u8
CCTV-2财经,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226178/index.m3u8
CCTV-2财经,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226703/index.m3u8
CCTV-2财经,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227525/index.m3u8
CCTV-2财经,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227558/index.m3u8
CCTV-2财经,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226177/index.m3u8
CCTV-2财经,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227675/index.m3u8
CCTV-3综艺,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227437/index.m3u8
CCTV-3综艺,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227553/index.m3u8
CCTV-3综艺,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226201/index.m3u8
CCTV-4中文国际,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226176/index.m3u8
CCTV-4中文国际,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226692/index.m3u8
CCTV-4中文国际,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227419/index.m3u8
CCTV-4中文国际,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227556/index.m3u8
CCTV-4中文国际,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226189/index.m3u8
CCTV-4中文国际,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227682/index.m3u8
CCTV-5+体育赛事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226198/index.m3u8
CCTV-5+体育赛事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227555/index.m3u8
CCTV-5+体育赛事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227571/index.m3u8
CCTV-5+体育赛事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227602/index.m3u8
CCTV-5体育,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227425/index.m3u8
CCTV-5体育,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227522/index.m3u8
CCTV-5体育,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226200/index.m3u8
CCTV-6电影,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227422/index.m3u8
CCTV-6电影,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227428/index.m3u8
CCTV-6电影,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226199/index.m3u8
CCTV-7国防军事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226175/index.m3u8
CCTV-7国防军事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227528/index.m3u8
CCTV-7国防军事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226188/index.m3u8
CCTV-7国防军事,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227534/index.m3u8
CCTV-8电视剧,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227431/index.m3u8
CCTV-8电视剧,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227531/index.m3u8
CCTV-8电视剧,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226197/index.m3u8
CCTV-9纪录,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226174/index.m3u8
